YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Race,Age,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder
2008,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,47.8,2.9,42.1,53.5,654.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS08,8
2010,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,5.6,1.0,3.6,7.6,678.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS09,9
2002,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,None,%,Percentage,55.0,6.5,42.2,67.7,144.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,2EDU,YTS06,6
2012,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,None,%,Percentage,65.1,4.0,57.3,72.9,141.0,Male,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,105BEH,169QUA,2GEN,8AGE,6RAC,2EDU,YTS05,5
2004,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,24.3,2.8,18.8,29.9,676.0,Male,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS11,11
2000,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,63.9,5.2,53.7,74.2,172.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,2EDU,YTS03,3
2014,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,1.5,0.4,0.8,2.3,1395.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS12,12
2014,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,47.3,5.6,36.4,58.2,176.0,Overall,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,2EDU,YTS01,1
2010,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,23.2,2.7,18.0,28.4,565.0,Female,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS08,8
2006,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,55.6,5.9,44.0,67.2,133.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,2EDU,YTS03,3
